ID,group
001,indistr
002,indistr
003,indistr
004,indistr
005,indistr
006,indistr
007,indistr
008,indistr
009,indistr
010,indistr
011,indistr
012,indistr
013,indistr
014,indistr
015,indistr
016,indistr
017,indistr
018,indistr
019,indistr
020,indistr
021,indistr
022,indistr
023,indistr
024,indistr
025,indistr
026,indistr
027,indistr
028,indistr
029,indistr
030,indistr
031,indistr
032,indistr
033,indistr
034,indistr
035,indistr
036,indistr
037,indistr
038,indistr
039,indistr
040,indistr
041,indistr
042,indistr
043,indistr
044,indistr
045,indistr
046,indistr
047,indistr
048,indistr
049,indistr
050,indistr
051,indistr
052,indistr
053,indistr
054,indistr
055,indistr
056,indistr
057,indistr
058,indistr
059,indistr
060,indistr
061,indistr
062,indistr
063,indistr
064,indistr
065,indistr
066,indistr
067,indistr
068,indistr
069,indistr
070,indistr
071,indistr
072,indistr
073,indistr
074,indistr
075,indistr
076,indistr
077,indistr
078,indistr
079,indistr
080,indistr
081,indistr
082,indistr
083,indistr
084,indistr
085,indistr
086,indistr
087,indistr
088,indistr
089,indistr
090,indistr
091,indistr
092,indistr
093,indistr
094,indistr
095,indistr
096,indistr
097,indistr
098,indistr
099,indistr
100,indistr
101,indistr
102,indistr
103,indistr
104,indistr
105,indistr
106,indistr
107,indistr
108,indistr
109,indistr
110,indistr
111,indistr
112,indistr
113,indistr
114,indistr
115,indistr
116,indistr
117,indistr
118,indistr
119,indistr
120,indistr
121,angles
122,angles
123,angles
124,angles
125,angles
126,angles
127,angles
128,angles
129,angles
130,angles
131,angles
132,angles
133,angles
134,angles
135,angles
136,angles
137,angles
138,angles
139,angles
140,angles
141,angles
142,angles
143,angles
144,angles
145,angles
146,angles
147,angles
148,angles
149,angles
150,angles
151,angles
152,angles
153,angles
154,angles
155,angles
156,angles
157,angles
158,angles
159,angles
160,angles
161,angles
162,angles
163,angles
164,angles
165,angles
166,angles
167,angles
168,angles
169,angles
170,angles
171,colors
172,colors
173,colors
174,colors
175,colors
176,colors
177,colors
178,colors
179,colors
180,colors
181,colors
182,colors
183,colors
184,colors
185,colors
186,colors
187,colors
188,colors
189,colors
190,colors
191,colors
192,colors
193,colors
194,colors
195,colors
196,colors
197,colors
198,colors
199,colors
200,colors
201,colors
202,colors
203,colors
204,colors
205,colors
206,colors
207,colors
208,colors
209,colors
210,colors
211,colors
212,colors
213,colors
214,colors
215,colors
216,colors
217,colors
218,colors
219,colors
220,colors
221,graffiti
222,graffiti
223,graffiti
224,graffiti
225,graffiti
226,graffiti
227,graffiti
228,graffiti
229,graffiti
230,graffiti
231,graffiti
232,graffiti
233,graffiti
234,graffiti
235,graffiti
236,graffiti
237,graffiti
238,graffiti
239,graffiti
240,graffiti
241,graffiti
242,graffiti
243,graffiti
244,graffiti
245,graffiti
246,graffiti
247,graffiti
248,graffiti
249,graffiti
250,graffiti
251,graffiti
252,graffiti
253,graffiti
254,graffiti
255,graffiti
256,graffiti
257,graffiti
258,graffiti
259,graffiti
260,graffiti
261,graffiti
262,graffiti
263,graffiti
264,graffiti
265,graffiti
266,graffiti
267,graffiti
268,graffiti
269,graffiti
270,graffiti
271,objects
272,objects
273,objects
274,objects
275,objects
276,objects
277,objects
278,objects
279,objects
280,objects
281,objects
282,objects
283,objects
284,objects
285,objects
286,objects
287,objects
288,objects
289,objects
290,objects
291,objects
292,objects
293,objects
294,objects
295,objects
296,objects
297,objects
298,objects
299,objects
300,objects
301,objects
302,objects
303,objects
304,objects
305,objects
306,objects
307,objects
308,objects
309,objects
310,objects
311,objects
312,objects
313,objects
314,objects
315,objects
316,objects
317,objects
318,objects
319,objects
320,objects
321,shadows
322,shadows
323,shadows
324,shadows
325,shadows
326,shadows
327,shadows
328,shadows
329,shadows
330,shadows
331,shadows
332,shadows
333,shadows
334,shadows
335,shadows
336,shadows
337,shadows
338,shadows
339,shadows
340,shadows
341,shadows
342,shadows
343,shadows
344,shadows
345,shadows
346,shadows
347,shadows
348,shadows
349,shadows
350,shadows
351,shadows
352,shadows
353,shadows
354,shadows
355,shadows
356,shadows
357,shadows
358,shadows
359,shadows
360,shadows
361,shadows
362,shadows
363,shadows
364,shadows
365,shadows
366,shadows
367,shadows
368,shadows
369,shadows
370,shadows
371,occlusion
372,occlusion
373,occlusion
374,occlusion
375,occlusion
376,occlusion
377,occlusion
378,occlusion
379,occlusion
380,occlusion
381,occlusion
382,occlusion
383,occlusion
384,occlusion
385,occlusion
386,occlusion
387,occlusion
388,occlusion
389,occlusion
390,occlusion
391,occlusion
392,occlusion
393,occlusion
394,occlusion
395,occlusion
396,occlusion
397,occlusion
398,occlusion
399,occlusion
400,occlusion
401,occlusion
402,occlusion
403,occlusion
404,occlusion
405,occlusion
406,occlusion
407,occlusion
408,occlusion
409,occlusion
410,occlusion
411,occlusion
412,occlusion
413,occlusion
414,occlusion
415,occlusion
416,occlusion
417,occlusion
418,occlusion
419,occlusion
420,occlusion
